,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
5700,0,0,1,2,3,3,2,0,1,0.5337336740088197,1.0783512615999695,1.6910330724019103,0.1893810146688369,0.6963928267147275,simulated,simulated,simulated,5
8622,0,0,1,1,2,2,3,1,1,0.5337317685318879,1.095367559407695,1.6910330724019103,0.1994455842565042,0.6835890890160905,simulated,simulated,simulated,4
8248,0,1,1,0,2,1,1,3,1,0.5337223241250791,0.9617237706748011,1.6910330724019103,0.12042417414367365,0.5014189741287569,simulated,simulated,simulated,6
5912,0,1,2,2,3,2,2,0,2,0.533695591227874,1.2054188124707685,1.6910330724019103,0.2645610641827659,0.7325044421010429,simulated,simulated,simulated,5
3779,0,1,2,1,3,1,2,0,1,0.5336938063437022,1.1857406130634058,1.6910330724019103,0.25292605749348124,0.6801672578100284,simulated,simulated,simulated,4
10788,0,1,0,1,2,0,3,3,2,0.5336824735113457,1.1461572451424846,1.6910330724019103,0.2295295879788986,0.6485852279930375,simulated,simulated,simulated,5
11289,0,1,2,1,1,3,1,3,4,0.5336726935740848,1.093479464456971,1.6910330724019103,0.1983881257877657,0.6105012242816141,simulated,simulated,simulated,5
485,0,1,2,0,1,2,1,2,2,0.5336652002360873,0.9393697017202605,1.6910330724019103,0.1072621189879947,0.43535725400813197,simulated,simulated,simulated,4
5601,0,1,2,0,2,3,0,3,1,0.5336612395769796,0.9998706616292002,1.6910330724019103,0.1430435939348658,0.5566465824425785,simulated,simulated,simulated,3
7212,0,1,2,2,0,0,3,0,1,0.5336458181738961,1.1812093424081842,1.6910330724019103,0.2502944584161938,0.6977785062680697,simulated,simulated,simulated,4
8172,0,0,0,1,2,2,3,2,1,0.5336397078800224,1.0602307079210451,1.6910330724019103,0.17875931001942383,0.6725600321303327,simulated,simulated,simulated,5
4179,0,1,2,1,1,3,0,2,3,0.5335887924306624,1.0559747443565313,1.6910330724019103,0.17629344230589228,0.6236228387295792,simulated,simulated,simulated,5
17817,0,1,0,1,1,2,2,3,4,0.533531338847095,1.092890424032531,1.6910330724019103,0.19818114881500737,0.6091552343836286,simulated,simulated,simulated,5
5694,0,1,2,1,3,1,0,3,2,0.5335024569492262,1.139797375898243,1.6910330724019103,0.2259486673080117,0.6905251636544368,simulated,simulated,simulated,4
3414,0,1,0,2,3,0,1,2,1,0.5334844678230524,1.2049904106630647,1.6910330724019103,0.26451885025510397,0.7330799509628367,simulated,simulated,simulated,4
5164,0,1,0,2,1,1,1,3,2,0.5334841105605004,1.1390845470756281,1.6910330724019103,0.22554547917192633,0.6804072389648994,simulated,simulated,simulated,5
6755,0,1,1,0,0,0,2,3,2,0.5334738360451214,0.9086432833810536,1.6910330724019103,0.08928327773433041,0.4572962319026673,simulated,simulated,simulated,5
3201,0,1,1,2,2,1,0,2,1,0.5334728700365372,1.061866170287389,1.6910330724019103,0.17989328587637257,0.7013585529423993,simulated,simulated,simulated,6
6629,0,0,1,2,3,3,2,3,0,0.5334665424963012,1.1031285792829588,1.6910330724019103,0.20430032424183292,0.6866551462368033,simulated,simulated,simulated,5
460,0,1,1,0,1,1,2,1,0,0.5334479138884157,0.8707141417684855,1.6910330724019103,0.06687963169891653,0.39596369374797047,simulated,simulated,simulated,4
3661,0,1,2,1,3,1,3,0,1,0.5334463742368241,1.184207929316797,1.6910330724019103,0.252267130185146,0.6748014662366754,simulated,simulated,simulated,4
6950,0,1,2,0,2,1,1,1,3,0.5334441285415604,0.9876577461717652,1.6910330724019103,0.13603854257928688,0.506923910581788,simulated,simulated,simulated,5
4805,0,1,0,2,1,3,2,1,0,0.5334314530817288,1.142685062241062,1.6910330724019103,0.22772731745987027,0.6980855674220979,simulated,simulated,simulated,5
16674,0,1,0,2,0,3,1,4,0,0.5334133603747471,1.173602369287801,1.6910330724019103,0.24602849850575992,0.6958798914379831,simulated,simulated,simulated,4
13693,0,0,1,1,2,1,2,3,4,0.5334047053539226,1.1013717843923287,1.6910330724019103,0.2033232728377358,0.6607644695540835,simulated,simulated,simulated,5
8742,0,1,0,2,1,1,0,3,2,0.5333655029491682,1.09958869085759,1.6910330724019103,0.20230803487474144,0.6960913134330233,simulated,simulated,simulated,6
5496,0,1,2,1,3,0,3,0,2,0.5333454510378626,1.1963862386382278,1.6910330724019103,0.25956975128119997,0.6862012519566969,simulated,simulated,simulated,3
5359,0,1,2,2,2,0,1,3,1,0.5333393481461999,1.1695812780287005,1.6910330724019103,0.24372462036378406,0.7094763596560616,simulated,simulated,simulated,4
10435,0,0,1,2,3,3,0,3,1,0.5333246571371799,1.0526895737203947,1.6910330724019103,0.17461487719348007,0.7109587036380718,simulated,simulated,simulated,5
4109,0,1,0,2,2,1,0,3,3,0.5333241224787548,1.1168827729430548,1.6910330724019103,0.2125763484357659,0.730493105687668,simulated,simulated,simulated,5
12329,0,1,2,1,3,3,1,0,4,0.5332723472284944,1.170418980778916,1.6910330724019103,0.2442870005640637,0.6882520905605876,simulated,simulated,simulated,4
3714,0,0,0,1,2,2,3,2,0,0.5332720575332397,1.0484347715357127,1.6910330724019103,0.17215138042170686,0.6753703720700976,simulated,simulated,simulated,6
9770,0,1,0,2,3,2,2,3,0,0.533268474159083,1.2270014258813609,1.6910330724019103,0.2777511565965257,0.7558883833217571,simulated,simulated,simulated,4
12515,0,0,1,1,1,2,2,3,4,0.5332557798190505,1.0621380165195125,1.6910330724019103,0.18027113358379843,0.6424360704987233,simulated,simulated,simulated,3
6286,0,0,1,2,3,3,0,1,3,0.5332365716131187,1.0573390604092012,1.6910330724019103,0.17745245754687808,0.7107536667147227,simulated,simulated,simulated,6
16407,0,0,1,2,3,4,0,2,2,0.5331972867639672,1.076589332859731,1.6910330724019103,0.18887547744219696,0.7137838100701708,simulated,simulated,simulated,5
1831,0,1,1,2,1,1,1,1,0,0.5331972021020828,1.0435814566254553,1.6910330724019103,0.1693562062895958,0.631680266642481,simulated,simulated,simulated,5
9002,0,1,1,2,0,3,2,1,0,0.5331819631161114,1.1414142312117779,1.6910330724019103,0.22722529579036682,0.692820178965029,simulated,simulated,simulated,5
4589,0,0,1,1,2,0,3,3,2,0.5331510112880999,1.0916951336170417,1.6910330724019103,0.19785463602002198,0.6617018328368258,simulated,simulated,simulated,3
12877,0,0,0,1,2,3,2,3,4,0.5331144931450933,1.0836408645925166,1.6910330724019103,0.19312822601220012,0.6750323976515489,simulated,simulated,simulated,3
10883,0,1,2,0,0,0,3,1,0,0.5331100689049755,0.9447917365549516,1.6910330724019103,0.11102359496320614,0.4943655049711122,simulated,simulated,simulated,5
5686,0,1,0,2,3,1,1,0,3,0.5331056553468398,1.209421289384504,1.6910330724019103,0.26751788275761423,0.7483249384899333,simulated,simulated,simulated,3
7515,0,1,0,2,3,3,0,2,0,0.5330724878934949,1.1724381189537136,1.6910330724019103,0.2456808863245366,0.7712899086732308,simulated,simulated,simulated,4
