,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
162,3,1,1,2,1,1,4,0,0,0.5073262304436521,1.3553120150826972,3.6844917214264283,0.03813214588515309,0.2712149631087243,Maale (Ta-Ne-Omotic),africa,2.0,1.0,3.0
163,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,"Fon (Atlantic-Congo, Gbe)",africa,1.0,1.0,2.0
164,4,1,7,5,6,0,2,3,8,0.6217436128175662,1.7530612423846796,52.86262995968926,-4.032391519123788e-16,-2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,1.0,1.0,2.0
165,5,0,2,4,8,7,3,6,1,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,2.220446049250313e-16,"Khoekhoe, Nama (Khoe-Kwadi)",africa,1.0,1.0,2.0
166,2,5,3,2,4,0,2,4,1,0.386438433822504,1.1079650212650582,2.846445471503935,0.10221010043568977,0.4943668171879254,"Malagasy (Austronesian, Greater Barito)",africa,3.0,1.0,4.0
167,0,1,1,0,1,1,0,1,1,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699286,"Supyire Senoufo (Atlantic-Congo, Gur)",africa,1.0,1.0,2.0
168,1,0,2,1,0,2,1,0,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,"Kaba (Central Sudanic, Saraic)",africa,1.0,1.0,2.0
169,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,Bambara (Mande),africa,1.0,1.0,2.0
170,3,0,0,3,0,0,1,2,2,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.21683813604746638,"Afar (Afro-Asiatic, Cushitic) ",africa,1.0,1.0,2.0
171,6,0,3,2,1,8,4,5,7,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,-2.220446049250313e-16,"Yoruba (Atlantic-Congo, Defoid)",africa,1.0,1.0,2.0
172,3,5,4,3,5,4,0,1,2,0.49305718635109774,1.202636775950125,3.584013028435441,0.011072418917791283,0.14511635752911634,Lango (Nilotic),africa,1.0,1.0,2.0
173,2,1,0,2,1,0,2,1,0,0.3236560826162729,0.857113354188883,2.5250395143645905,0.08228633500242125,0.5820761069607476,Koyra Chiini (Songhay),africa,1.0,1.0,2.0
174,2,3,3,2,3,3,0,1,1,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.2168381360474666,"Munukutuba (Atlantic-Congo, Bantu)",africa,1.0,1.0,2.0
175,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",africa,1.0,1.0,2.0
176,3,2,2,4,0,0,1,5,5,0.5512172984618939,1.544413873162318,4.134385231454571,0.03843632677104116,0.22212212658723296,"Amharic (Afro-Asiatic, Semitic)",africa,1.0,1.0,2.0
177,1,3,3,2,0,0,2,0,0,0.3948384932005824,1.3144021178690832,2.899400473327413,0.16322663711868665,0.6193915424151288,Bunoge Dogon (Dogon),africa,1.0,1.0,2.0
178,3,6,1,5,2,8,4,7,0,0.6217436128175664,1.7530612423846794,52.86262995968926,-6.720652531872981e-16,2.220446049250313e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,1.0,1.0,2.0
179,1,3,3,0,0,0,0,2,2,0.3620686623894167,1.1912439556683512,2.7057532709245895,0.16323844047284805,0.6726578656070262,"Awtuw (Sepik, Ram) ",oceania,2.0,2.0,4.0
180,1,0,2,1,0,2,1,0,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,"[OC-6]  Bunaq (Timor-Alor-Pantar, East Timor-Bunaq) ",oceania,1.0,1.0,2.0
181,1,3,3,4,2,2,5,0,0,0.5512172984618937,1.5444138731623178,4.134385231454571,0.03843632677104133,0.22212212658723285,"[OC-44]  Wambaya (Mirndi, Ngurlun)",oceania,1.0,1.0,2.0
182,0,5,5,2,4,4,1,3,3,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723385,"[OC-13]  Garrwa, Western (Garrwan) ",oceania,1.0,1.0,2.0
183,5,6,3,7,0,4,2,1,1,0.6144969222657852,1.7315367249259905,6.645816804949606,0.005389606537432715,0.03287680657001213,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,1.0,2.0,3.0
184,4,1,3,5,2,0,5,5,0,0.46169566171225807,1.4901666805505438,3.4068648325807676,0.12815787125887448,0.44878547133219804,"[OC-9]  Doromu-Koki (Trans-New Guinea, Manubaran) ",oceania,2.0,2.0,4.0
185,7,5,0,1,4,8,2,6,3,0.6217436128175662,1.7530612423846796,52.86262995968926,-4.032391519123788e-16,-2.220446049250313e-16,[OC-45]  Wardaman (Yangmanic),oceania,1.0,1.0,2.0
186,1,1,2,4,3,0,5,5,0,0.4793431183100718,1.3435642947505566,3.50237713202241,0.06543164506891096,0.40063316502742363,"[OC-18]  Kilivila[211] (Austronesian, Oceanic)",oceania,2.0,2.0,4.0
187,4,5,5,1,2,2,3,0,0,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723351,"[OC-32]  Pitjantjatjara (Pama-Nyungan, Wati)",oceania,1.0,1.0,2.0
188,4,7,6,2,1,3,5,0,8,0.6217436128175662,1.7530612423846792,52.86262995968926,-4.032391519123788e-16,0.0,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,1.0,1.0,2.0
189,1,3,3,5,2,2,4,0,0,0.5512172984618937,1.5444138731623178,4.134385231454571,0.03843632677104133,0.2221221265872333,[OC-10]  Dyirbal (Pama-Nyungan),oceania,1.0,1.0,2.0
190,2,3,3,1,0,0,1,0,0,0.3948384932005824,1.3144021178690832,2.899400473327413,0.16322663711868665,0.6193915424151288,"Abau (Sepik, Upper) ",oceania,1.0,1.0,2.0
191,0,2,1,3,2,1,3,4,1,0.4582692390595988,1.3785067000565208,3.3756097671518868,0.09970687503028723,0.38498596883319924,"[OC-42]  Tok Pisin (Indo-European, Pacific Creole English)",oceania,3.0,1.0,4.0
192,4,5,8,3,7,2,1,6,0,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,1.0,1.0,2.0
193,3,1,1,0,4,4,5,2,2,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872333,[OC-38]  Savosavo (Solomon Islands),oceania,1.0,1.0,2.0
