,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
16519,0,1,2,3,4,4,2,1,4,0.4706391499757163,1.496088881845833,3.4542908796918432,0.1192485839790729,0.4324591316009313,simulated16520,simulated,3.0,2.0,5.0
16520,0,1,2,0,0,2,3,3,4,0.43214723726023885,1.0672850505639904,3.2534307045088062,0.03440015527869846,0.27123898247019507,simulated16521,simulated,2.0,2.0,4.0
16521,0,1,1,2,3,4,2,2,2,0.40666030396601704,1.3326568378587564,2.994453304116905,0.15251924332934352,0.5883440503279291,simulated16522,simulated,2.0,3.0,5.0
16522,0,1,1,2,2,3,4,2,2,0.44223135107914513,1.3411262999507993,3.298720836476787,0.1069353930141133,0.4979500835064262,simulated16523,simulated,2.0,2.0,4.0
16523,0,0,1,0,2,3,1,4,1,0.3188690648442346,0.8763270045875764,2.501874440576735,0.09554486032656927,0.5305975153842815,simulated16524,simulated,3.0,3.0,6.0
16524,0,1,1,1,2,2,3,0,4,0.35229789482077734,1.1847266159654617,2.656335065087278,0.17366249427160768,0.6565032990011068,simulated16525,simulated,1.0,2.0,3.0
16525,0,1,2,3,4,0,1,0,2,0.39884751718863143,1.3861834093804846,2.9262462753452323,0.1822669990500486,0.6303634826419989,simulated16526,simulated,2.0,1.0,3.0
16526,0,1,0,2,3,4,0,0,2,0.3314058712580201,1.2082321517530825,2.560189908891649,0.21060838205788365,0.8032402099093494,simulated16527,simulated,2.0,3.0,5.0
16527,0,1,2,2,3,2,0,4,3,0.3778115107229332,1.2977076034274495,2.794457646255036,0.18070142551485152,0.667381851219625,simulated16528,simulated,3.0,2.0,5.0
16528,0,1,2,1,1,3,1,4,4,0.3373018773776961,1.107244209522023,2.5838949306899157,0.1637278441396278,0.6323164285353892,simulated16529,simulated,3.0,3.0,6.0
16529,0,1,2,0,3,1,4,1,3,0.4446100034893332,1.2102623551818559,3.3139572210412993,0.06458376396316848,0.32030903893587614,simulated16530,simulated,3.0,1.0,4.0
16530,0,1,2,3,4,3,3,4,0,0.3967685885202632,1.4146721681733974,2.9127924464006263,0.19497424979424396,0.6239717531270204,simulated16531,simulated,2.0,2.0,4.0
16531,0,1,2,3,3,4,2,2,1,0.45245162291702545,1.4013542673118848,3.3446414401652267,0.1133166649571317,0.47490829470173035,simulated16532,simulated,1.0,2.0,3.0
16532,0,1,2,3,0,0,3,4,4,0.37754540057803476,1.2924569493246272,2.78160973407402,0.17991461589608548,0.6271783413576417,simulated16533,simulated,2.0,2.0,4.0
16533,0,1,2,1,2,3,4,4,2,0.42483058973541143,1.3303961831836673,3.1647073500703184,0.12595935945544204,0.5146284558765959,simulated16534,simulated,2.0,2.0,4.0
16534,0,1,1,2,2,2,3,4,3,0.4733680550008237,1.360747881411777,3.4702458230925357,0.07698270858405962,0.4208408310836842,simulated16535,simulated,1.0,3.0,4.0
