,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
18362,0,1,2,3,4,5,4,0,1,0.5215492309952192,1.630993279891428,2.930744680085729,0.18850356642237204,0.5312816276572978,simulated,simulated,simulated,2
20257,0,1,2,3,4,5,3,5,0,0.5215305622558062,1.6628913623484114,2.930744680085729,0.19940618649119615,0.522357316367474,simulated,simulated,simulated,3
17231,0,1,1,2,2,3,4,1,3,0.5215185384345145,1.443598129302396,2.930744680085729,0.12459312079305537,0.5205964715929197,simulated,simulated,simulated,6
19410,0,0,1,0,2,2,3,4,5,0.5215181267671429,1.243733165613607,2.930744680085729,0.05639756675694476,0.3635320628323312,simulated,simulated,simulated,5
12150,0,1,2,2,2,3,4,4,4,0.5215063163881513,1.4838808755658908,2.930744680085729,0.13835022704486097,0.4933224961604,simulated,simulated,simulated,4
14306,0,1,2,3,4,2,3,4,1,0.5214978904294922,1.5602680394846709,2.930744680085729,0.16442273304359553,0.4826947905034188,simulated,simulated,simulated,3
19129,0,1,2,3,4,3,0,5,3,0.5213829806224763,1.5884396334224036,2.930744680085729,0.1741500782596586,0.5392201144866133,simulated,simulated,simulated,5
18667,0,0,1,2,3,4,0,5,5,0.5213792202764036,1.389517715097001,2.930744680085729,0.10627964960623663,0.5157421140232357,simulated,simulated,simulated,5
14653,0,1,2,0,3,4,2,2,2,0.5213676515789925,1.3986936234835208,2.930744680085729,0.10942213190689327,0.41511807329446626,simulated,simulated,simulated,5
17275,0,1,2,3,2,2,3,1,4,0.5213610812754679,1.466267918217093,2.930744680085729,0.13248574132840593,0.47177594517594623,simulated,simulated,simulated,5
14348,0,1,2,3,1,0,4,4,2,0.5213159293766703,1.474548165972833,2.930744680085729,0.1353561982808999,0.4565384518582506,simulated,simulated,simulated,5
17979,0,1,2,1,3,2,4,4,1,0.5212258492699346,1.4725348191376597,2.930744680085729,0.1347593038965262,0.4441587161375924,simulated,simulated,simulated,4
11075,0,1,2,0,1,3,4,1,1,0.5212220565937251,1.307515212090748,2.930744680085729,0.07845672223442779,0.3373103167842495,simulated,simulated,simulated,5
19527,0,1,2,3,4,1,5,0,3,0.521167566410556,1.60380848110634,2.930744680085729,0.17960950017664012,0.5162156343867788,simulated,simulated,simulated,2
18874,0,1,2,2,3,3,4,2,5,0.5211538862154004,1.5904521922703803,2.930744680085729,0.17506587828856915,0.5208111125577841,simulated,simulated,simulated,3
19186,0,1,2,3,2,0,4,5,4,0.5211393781821589,1.5987717556736882,2.930744680085729,0.17791910627576604,0.5100693742769451,simulated,simulated,simulated,3
19189,0,1,2,3,4,5,3,0,1,0.5211248727153335,1.617852169534724,2.930744680085729,0.18444404371255674,0.5333004233308671,simulated,simulated,simulated,3
19739,0,1,2,2,3,4,5,1,2,0.5211039210784254,1.5964619092826895,2.930744680085729,0.17716642021346599,0.5362519451225729,simulated,simulated,simulated,3
19167,0,1,2,1,3,4,2,5,2,0.5211035863893789,1.5666951168841121,2.930744680085729,0.16701002149586625,0.5006137877184544,simulated,simulated,simulated,4
20583,0,1,2,3,4,5,3,4,0,0.5210828927154085,1.6528510530356324,2.930744680085729,0.19642800000906052,0.5240552273591613,simulated,simulated,simulated,3
